r_p,wavelength,scat_sigma
1.28283e-08,5.5102e-07,2.15785e-18
1.28283e-08,5.47297e-07,2.22362e-18
1.28283e-08,5.43624e-07,2.28636e-18
1.28283e-08,5.4e-07,2.34624e-18
1.28283e-08,5.36424e-07,2.40262e-18
1.28283e-08,5.32895e-07,2.4539e-18
1.28283e-08,5.29412e-07,2.49755e-18
1.28283e-08,5.25974e-07,2.53035e-18
1.28283e-08,5.22581e-07,2.54871e-18
1.28283e-08,5.19231e-07,2.54925e-18
1.28283e-08,5.15924e-07,2.52934e-18
1.28283e-08,5.12658e-07,2.48761e-18
1.28283e-08,5.09434e-07,2.42434e-18
1.28283e-08,5.0625e-07,2.34165e-18
1.28283e-08,5.03106e-07,2.24348e-18
1.28283e-08,5e-07,2.13523e-18
1.28283e-08,4.96933e-07,2.02332e-18
1.28283e-08,4.93902e-07,1.9145e-18
1.28283e-08,4.90909e-07,1.81514e-18
1.28283e-08,4.87952e-07,1.7306e-18
1.28283e-08,4.8503e-07,1.66465e-18
1.28283e-08,4.82143e-07,1.61922e-18
1.28283e-08,4.7929e-07,1.59432e-18
1.28283e-08,4.76471e-07,1.58821e-18
1.28283e-08,4.73684e-07,1.59787e-18
1.28283e-08,4.7093e-07,1.61949e-18
1.28283e-08,4.68208e-07,1.64914e-18
1.28283e-08,4.65517e-07,1.68329e-18
1.28283e-08,4.62857e-07,1.7193e-18
1.28283e-08,4.60227e-07,1.75561e-18
1.28283e-08,4.57627e-07,1.79184e-18
1.28283e-08,4.55056e-07,1.82855e-18
1.28283e-08,4.52514e-07,1.86696e-18
1.28283e-08,4.5e-07,1.90849e-18
1.35354e-08,1e-06,1.24428e-19
1.35354e-08,9.87805e-07,1.30891e-19
1.35354e-08,9.75904e-07,1.37098e-19
1.35354e-08,9.64286e-07,1.43491e-19
1.35354e-08,9.52941e-07,1.50565e-19
1.35354e-08,9.4186e-07,1.58708e-19
1.35354e-08,9.31034e-07,1.68078e-19
1.35354e-08,9.20455e-07,1.78559e-19
1.35354e-08,9.10112e-07,1.89808e-19
1.35354e-08,9e-07,2.01375e-19
1.35354e-08,8.9011e-07,2.12863e-19
1.35354e-08,8.80435e-07,2.24065e-19
1.35354e-08,8.70968e-07,2.35041e-19
1.35354e-08,8.61702e-07,2.46109e-19
1.35354e-08,8.52632e-07,2.57749e-19
1.35354e-08,8.4375e-07,2.70457e-19
1.35354e-08,8.35052e-07,2.84588e-19
1.35354e-08,8.26531e-07,3.0025e-19
1.35354e-08,8.18182e-07,3.17276e-19
1.35354e-08,8.1e-07,3.35282e-19
1.35354e-08,8.0198e-07,3.53808e-19
1.35354e-08,7.94118e-07,3.72473e-19
1.35354e-08,7.86408e-07,3.91121e-19
1.35354e-08,7.78846e-07,4.09888e-19
1.35354e-08,7.71429e-07,4.29181e-19
1.35354e-08,7.64151e-07,4.49563e-19
1.35354e-08,7.57009e-07,4.71585e-19
1.35354e-08,7.5e-07,4.9562e-19
1.35354e-08,7.43119e-07,5.2174e-19
1.35354e-08,7.36364e-07,5.49707e-19
1.35354e-08,7.2973e-07,5.79056e-19
1.35354e-08,7.23214e-07,6.09285e-19
1.35354e-08,7.16814e-07,6.40071e-19
1.35354e-08,7.10526e-07,6.71459e-19
1.35354e-08,7.04348e-07,7.03964e-19
1.35354e-08,6.98276e-07,7.38533e-19
1.35354e-08,6.92308e-07,7.76369e-19
1.35354e-08,6.86441e-07,8.1866e-19
1.35354e-08,6.80672e-07,8.6628e-19
1.35354e-08,6.75e-07,9.1954e-19
1.35354e-08,6.69421e-07,9.78093e-19
1.35354e-08,6.63934e-07,1.04101e-18
1.35354e-08,6.58537e-07,1.10706e-18
1.35354e-08,6.53226e-07,1.17509e-18
1.35354e-08,6.48e-07,1.24449e-18
1.35354e-08,6.42857e-07,1.31555e-18
1.35354e-08,6.37795e-07,1.38961e-18
1.35354e-08,6.32813e-07,1.46897e-18
1.35354e-08,6.27907e-07,1.55653e-18
1.35354e-08,6.23077e-07,1.65516e-18
1.35354e-08,6.18321e-07,1.76704e-18
1.35354e-08,6.13636e-07,1.89294e-18
1.35354e-08,6.09023e-07,2.0318e-18
1.35354e-08,6.04478e-07,2.18057e-18
1.35354e-08,6e-07,2.33446e-18
1.35354e-08,5.95588e-07,2.48761e-18
1.35354e-08,5.91241e-07,2.63399e-18
1.35354e-08,5.86957e-07,2.76842e-18
1.35354e-08,5.82734e-07,2.88753e-18
1.35354e-08,5.78571e-07,2.99039e-18
1.35354e-08,5.74468e-07,3.07875e-18
1.35354e-08,5.70423e-07,3.15679e-18
1.35354e-08,5.66434e-07,3.23032e-18
1.35354e-08,5.625e-07,3.30571e-18
1.35354e-08,5.58621e-07,3.38861e-18
1.35354e-08,5.54795e-07,3.48275e-18
1.35354e-08,5.5102e-07,3.58901e-18
1.35354e-08,5.47297e-07,3.70495e-18
1.35354e-08,5.43624e-07,3.82493e-18
1.35354e-08,5.4e-07,3.94074e-18
1.35354e-08,5.36424e-07,4.04262e-18
1.35354e-08,5.32895e-07,4.12068e-18
1.35354e-08,5.29412e-07,4.16624e-18
1.35354e-08,5.25974e-07,4.17302e-18
1.35354e-08,5.22581e-07,4.13803e-18
1.35354e-08,5.19231e-07,4.06188e-18
1.35354e-08,5.15924e-07,3.94867e-18
1.35354e-08,5.12658e-07,3.80538e-18
1.35354e-08,5.09434e-07,3.64093e-18
1.35354e-08,5.0625e-07,3.46513e-18
1.35354e-08,5.03106e-07,3.28757e-18
1.35354e-08,5e-07,3.11677e-18
1.35354e-08,4.96933e-07,2.95954e-18
1.35354e-08,4.93902e-07,2.82075e-18
1.35354e-08,4.90909e-07,2.70332e-18
1.35354e-08,4.87952e-07,2.6085e-18
1.35354e-08,4.8503e-07,2.53632e-18
1.35354e-08,4.82143e-07,2.486e-18
1.35354e-08,4.7929e-07,2.45633e-18
1.35354e-08,4.76471e-07,2.44594e-18
1.35354e-08,4.73684e-07,2.45337e-18
1.35354e-08,4.7093e-07,2.47709e-18
1.35354e-08,4.68208e-07,2.51541e-18
1.35354e-08,4.65517e-07,2.56638e-18
1.35354e-08,4.62857e-07,2.62778e-18
1.35354e-08,4.60227e-07,2.69717e-18
1.35354e-08,4.57627e-07,2.77203e-18
