r_p,wavelength,scat_sigma
4.32323e-08,5.53152e-07,4.8227e-15
4.32323e-08,5.51047e-07,4.93775e-15
4.32323e-08,5.48957e-07,5.04349e-15
4.32323e-08,5.46884e-07,5.1388e-15
4.32323e-08,5.44826e-07,5.22227e-15
4.32323e-08,5.42784e-07,5.29216e-15
4.32323e-08,5.40756e-07,5.34637e-15
4.32323e-08,5.38744e-07,5.38262e-15
4.32323e-08,5.36747e-07,5.39852e-15
4.32323e-08,5.34765e-07,5.39181e-15
4.32323e-08,5.32797e-07,5.36063e-15
4.32323e-08,5.30843e-07,5.30369e-15
4.32323e-08,5.28904e-07,5.22053e-15
4.32323e-08,5.26979e-07,5.11166e-15
4.32323e-08,5.25068e-07,4.97866e-15
4.32323e-08,5.23171e-07,4.82413e-15
4.32323e-08,5.21287e-07,4.65164e-15
4.32323e-08,5.19417e-07,4.46551e-15
4.32323e-08,5.1756e-07,4.27055e-15
4.32323e-08,5.15717e-07,4.07181e-15
4.32323e-08,5.13886e-07,3.87422e-15
4.32323e-08,5.12069e-07,3.68234e-15
4.32323e-08,5.10264e-07,3.50006e-15
4.32323e-08,5.08472e-07,3.3305e-15
4.32323e-08,5.06693e-07,3.17586e-15
4.32323e-08,5.04926e-07,3.03741e-15
4.32323e-08,5.03171e-07,2.91559e-15
4.32323e-08,5.01429e-07,2.81013e-15
4.32323e-08,4.99698e-07,2.7202e-15
4.32323e-08,4.97979e-07,2.64464e-15
4.32323e-08,4.96272e-07,2.58214e-15
4.32323e-08,4.94577e-07,2.53136e-15
4.32323e-08,4.92894e-07,2.49113e-15
4.32323e-08,4.91221e-07,2.46045e-15
4.32323e-08,4.8956e-07,2.43856e-15
4.32323e-08,4.87911e-07,2.42488e-15
4.32323e-08,4.86272e-07,2.41899e-15
4.32323e-08,4.84644e-07,2.42056e-15
4.32323e-08,4.83028e-07,2.42926e-15
4.32323e-08,4.81421e-07,2.4447e-15
4.32323e-08,4.79826e-07,2.46644e-15
4.32323e-08,4.78241e-07,2.49391e-15
4.32323e-08,4.76667e-07,2.52648e-15
4.32323e-08,4.75103e-07,2.56348e-15
4.32323e-08,4.73549e-07,2.60426e-15
4.32323e-08,4.72005e-07,2.64823e-15
4.32323e-08,4.70471e-07,2.69491e-15
4.32323e-08,4.68947e-07,2.74398e-15
4.32323e-08,4.67433e-07,2.79526e-15
4.32323e-08,4.65929e-07,2.8487e-15
4.32323e-08,4.64435e-07,2.90437e-15
4.32323e-08,4.6295e-07,2.96236e-15
4.32323e-08,4.61474e-07,3.02279e-15
4.32323e-08,4.60008e-07,3.0857e-15
4.32323e-08,4.58551e-07,3.15104e-15
4.32323e-08,4.57103e-07,3.21866e-15
4.32323e-08,4.55665e-07,3.28829e-15
4.32323e-08,4.54235e-07,3.35958e-15
4.32323e-08,4.52815e-07,3.43212e-15
4.32323e-08,4.51403e-07,3.5055e-15
4.32323e-08,4.5e-07,3.57938e-15
4.40404e-08,6.5e-07,1.32735e-15
4.40404e-08,6.47095e-07,1.37298e-15
4.40404e-08,6.44216e-07,1.42042e-15
4.40404e-08,6.41362e-07,1.46921e-15
4.40404e-08,6.38534e-07,1.51899e-15
4.40404e-08,6.3573e-07,1.56961e-15
4.40404e-08,6.32951e-07,1.62121e-15
4.40404e-08,6.30196e-07,1.67419e-15
4.40404e-08,6.27465e-07,1.72921e-15
4.40404e-08,6.24757e-07,1.78709e-15
4.40404e-08,6.22073e-07,1.84865e-15
4.40404e-08,6.19412e-07,1.9146e-15
4.40404e-08,6.16773e-07,1.98539e-15
4.40404e-08,6.14157e-07,2.06119e-15
4.40404e-08,6.11563e-07,2.14184e-15
4.40404e-08,6.08991e-07,2.22694e-15
4.40404e-08,6.0644e-07,2.31595e-15
4.40404e-08,6.0391e-07,2.40838e-15
4.40404e-08,6.01402e-07,2.50395e-15
4.40404e-08,5.98914e-07,2.60273e-15
4.40404e-08,5.96447e-07,2.70523e-15
4.40404e-08,5.94e-07,2.8124e-15
4.40404e-08,5.91573e-07,2.92552e-15
4.40404e-08,5.89166e-07,3.04597e-15
4.40404e-08,5.86778e-07,3.17505e-15
4.40404e-08,5.8441e-07,3.31363e-15
4.40404e-08,5.8206e-07,3.46189e-15
4.40404e-08,5.7973e-07,3.61915e-15
4.40404e-08,5.77418e-07,3.78373e-15
4.40404e-08,5.75124e-07,3.95306e-15
4.40404e-08,5.72849e-07,4.12377e-15
4.40404e-08,5.70591e-07,4.29209e-15
4.40404e-08,5.68351e-07,4.45417e-15
4.40404e-08,5.66129e-07,4.60655e-15
4.40404e-08,5.63924e-07,4.74656e-15
4.40404e-08,5.61736e-07,4.87259e-15
4.40404e-08,5.59565e-07,4.9843e-15
4.40404e-08,5.57411e-07,5.08261e-15
4.40404e-08,5.55273e-07,5.16949e-15
4.40404e-08,5.53152e-07,5.24765e-15
4.40404e-08,5.51047e-07,5.32004e-15
4.40404e-08,5.48957e-07,5.38933e-15
4.40404e-08,5.46884e-07,5.45745e-15
