r_p,wavelength,abs_sigma
4.57143e-008,3.18367e-007,1.24027e-014
4.57143e-008,3.2449e-007,1.42006e-014
4.57143e-008,3.30612e-007,1.48872e-014
4.57143e-008,3.36735e-007,1.51705e-014
4.57143e-008,3.42857e-007,1.74797e-014
4.57143e-008,3.4898e-007,1.7116e-014
4.57143e-008,3.55102e-007,1.74574e-014
4.57143e-008,3.61224e-007,1.93479e-014
4.57143e-008,3.67347e-007,1.98804e-014
4.57143e-008,3.73469e-007,2.12841e-014
4.57143e-008,3.79592e-007,2.13853e-014
4.57143e-008,3.85714e-007,2.18135e-014
4.57143e-008,3.91837e-007,2.3286e-014
4.57143e-008,3.97959e-007,2.36509e-014
4.57143e-008,4.04082e-007,2.5063e-014
4.57143e-008,4.10204e-007,2.58998e-014
4.57143e-008,4.16327e-007,2.65318e-014
4.57143e-008,4.22449e-007,2.72153e-014
4.57143e-008,4.28571e-007,2.81857e-014
4.57143e-008,4.34694e-007,2.78456e-014
4.57143e-008,4.40816e-007,2.91824e-014
4.57143e-008,4.46939e-007,3.01584e-014
4.57143e-008,4.53061e-007,3.06505e-014
4.57143e-008,4.59184e-007,3.10043e-014
4.57143e-008,4.65306e-007,3.12572e-014
4.57143e-008,4.71429e-007,3.19345e-014
4.57143e-008,4.77551e-007,3.26618e-014
4.57143e-008,4.83673e-007,3.29143e-014
4.57143e-008,4.89796e-007,3.3238e-014
4.57143e-008,4.95918e-007,3.3913e-014
4.57143e-008,5.02041e-007,3.39162e-014
4.57143e-008,5.08163e-007,3.43983e-014
4.57143e-008,5.14286e-007,3.45334e-014
4.57143e-008,5.20408e-007,3.51587e-014
4.57143e-008,5.26531e-007,3.55256e-014
4.57143e-008,5.32653e-007,3.56528e-014
4.57143e-008,5.38776e-007,3.54483e-014
4.57143e-008,5.44898e-007,3.6221e-014
4.57143e-008,5.5102e-007,3.59296e-014
4.57143e-008,5.57143e-007,3.62241e-014
4.57143e-008,5.63265e-007,3.64201e-014
4.57143e-008,5.69388e-007,3.66749e-014
4.57143e-008,5.7551e-007,3.70229e-014
4.57143e-008,5.81633e-007,3.74792e-014
4.57143e-008,5.87755e-007,3.70802e-014
4.57143e-008,5.93878e-007,3.74228e-014
4.57143e-008,6e-007,3.76126e-014
4.65306e-008,3e-007,1.1605e-014
4.65306e-008,3.06122e-007,1.27046e-014
4.65306e-008,3.12245e-007,1.34491e-014
4.65306e-008,3.18367e-007,1.32499e-014
4.65306e-008,3.2449e-007,1.48492e-014
4.65306e-008,3.30612e-007,1.56095e-014
4.65306e-008,3.36735e-007,1.61677e-014
4.65306e-008,3.42857e-007,1.77233e-014
4.65306e-008,3.4898e-007,1.78454e-014
4.65306e-008,3.55102e-007,1.82463e-014
4.65306e-008,3.61224e-007,1.97049e-014
4.65306e-008,3.67347e-007,2.0732e-014
4.65306e-008,3.73469e-007,2.16529e-014
4.65306e-008,3.79592e-007,2.20073e-014
4.65306e-008,3.85714e-007,2.24697e-014
4.65306e-008,3.91837e-007,2.34689e-014
4.65306e-008,3.97959e-007,2.42956e-014
4.65306e-008,4.04082e-007,2.54469e-014
4.65306e-008,4.10204e-007,2.6136e-014
4.65306e-008,4.16327e-007,2.69423e-014
4.65306e-008,4.22449e-007,2.73919e-014
4.65306e-008,4.28571e-007,2.82218e-014
4.65306e-008,4.34694e-007,2.83582e-014
4.65306e-008,4.40816e-007,2.93985e-014
